id,Nombre,Tipo,Horario,Ciudad,Tiempo,Esfuerzo,Costo,Descripción,Detalle,NotaIA,LATLON,Image
th009,App MuvMi,Consejo,Mañana,Bangkok,10m,Bajo,Económico,Tuk-Tuks eléctricos compartidos con precio fijo por App.,No te pueden estafar porque el precio sale en la app. Tiene paradas fijas.,Funciona genial para distancias cortas dentro de barrios turísticos.,"13.7563, 100.5018",https://muvmi.co/storage/images/184/shuttle-(1).png
th010,Asiatique The Riverfront,Visita,Tarde/Noche,Bangkok,2-3 hs,Bajo,Gratis,"Mercado/riverfront con restaurantes, compras y paseo nocturno a orillas del río.",Mejor después de las 17:00. Se llega fácil en ferry desde BTS Saphan Taksin (según operación).,Buen lugar para cenar y caminar sin el caos de mercados callejeros.,-,https://excursionmania.com/uploads/blog/gallery/894/1736490200.jpg
th011,Baan Thai Cookery School,Gastronomía,,Chiang Mai,5h,Bajo,1200 THB,Escuela de cocina en grupos reducidos.,Clases prácticas en una casa tradicional. Enfoque en platos del norte (Khao Soi).,Aprenderás a hacer la pasta de curry desde cero.,"18.7834, 98.9912","https://res.klook.com/image/upload/w_750,h_469,c_fill,q_85/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/cw1jbdqcxf33pqzik014.jpg"
th012,Baandam Museum (Casa Negra),Visita,Da Igual,Chiang Rai,1.5h,Bajo,80 THB,Conjunto de casas oscuras con arte macabro.,"Obra de Thawan Duchanee. Decoración con pieles, huesos y maderas talladas.",Es el contrapunto artístico al Templo Blanco.,"19.9920, 99.8601",https://tuguiaentailandia.com/wp-content/uploads/2022/06/La-Casa-Negra-de-CHiang-Rai-Ban-Dam-1024x576.jpg
th013,Bahía de Phang Nga (Kayak),Visita,Mañana,Phuket / Krabi,8h,Medio,2500 THB,Paisaje de formaciones calizas y cuevas marinas.,Se visita en lanchas rápidas. El punto icónico es la isla de James Bond. Se recomienda el kayak para entrar en lagunas internas.,Ideal ir temprano para evitar los cientos de barcos que llegan al mediodía.,"8.2439, 98.5060",https://media.tacdn.com/media/attractions-splice-spp-674x446/12/33/96/10.jpg
th014,Bami Jae Hua,Comida,Da Igual,Chiang Mai,1h,Bajo,80-150 THB,Noodles chinos famosos y Gyozas de queso.,Especialidad en noodles estirados a mano y dumplings virales.,"Ubicado en la zona gastronómica de Chiang Mai, ideal para cenar informal.","18.7885, 98.9850",https://img4.restaurantguru.com/r177-Bami-Jae-Hua-Chinese-noodle-interior-2025-12-10.jpg
th015,Barco Público (Orange Flag),Transporte,Mañana,Bangkok,30-60m,Bajo,16 THB,La forma más barata y escénica de moverte por el río.,Busca siempre la bandera naranja. Conecta los principales templos y muelles.,Es mucho más barato que el barco azul (Tourist Boat) que cuesta 150 THB.,"13.7194, 100.5126",https://www.langeasy.com/images2/bkk/bkk1/chaophrayamap10.jpg
th016,Big Buddha Samui,Visita,Da Igual,Koh Samui,1h,Bajo,Gratis,Estatua dorada de 12m visible desde el aire.,Situada en una pequeña isla conectada por una calzada. Gran vista de la costa norte.,Evita ir al mediodía; el suelo quema mucho (se entra descalzo).,"9.5707, 100.0604",https://cdn.sanity.io/images/nxpteyfv/goguides/c5ab1c9fb0e5e25c4d63563805e133ba020c4124-1600x1066.jpg
th017,BKK Thai Cooking Academy,Gastronomía,Da Igual,Bangkok,4h,Bajo,1500 THB,Clase de cocina con visita al mercado local.,Incluye tour por mercado para elegir ingredientes y preparación de 4-5 platos.,Te dan un recetario digital al finalizar.,"13.7065, 100.6015","https://image.cookly.me/tr:h-504,w-764,pr-true,rt-auto/images/bkk_academy.png"
th127,Bonnie’s Deli (Koh Lanta),Comida,Mediodía-tarde,Koh Lanta,1h,Bajo,Medio,Deli/sándwiches + quesos y fiambres (ideal para picnic o take-away).,"Buen plan para almuerzo rápido o para armar vianda. Menú tipo delicatessen (sandwiches, quesos, embutidos).",Fuente: video (reels). Dirección en Koh Lanta; faltan coords exactas en esta pasada.,-,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/73/7a/79/caption.jpg
th019,Cabalgata Costera Phuket,Experiencia,Mañana,Phuket,2h,Medio,2000 THB,Paseo a caballo por la playa al atardecer.,Recorrido por la orilla del mar. Muy fotogénico.,Reservar para el horario de las 17:30 para mejores fotos.,"8.0050, 98.2950",https://media.tacdn.com/media/attractions-splice-spp-674x446/0e/3e/6c/fb.jpg
th020,Cabalgata Rural CM,Experiencia,Mañana,Chiang Mai,2.5h,Medio,1500 THB,Paseo a caballo por campos y senderos.,Recorrido guiado por zonas rurales fuera del casco urbano. Ritmo tranquilo.,Ideal para ver el paisaje de montaña sin caminar tanto.,"18.8200, 98.9500",https://media.tacdn.com/media/attractions-splice-spp-674x446/10/7d/9f/5b.jpg
th021,Carnival Magic,Visita,Tarde,Phuket,4h,Bajo,2100 THB,Parque temático de luces y carnaval.,Récord mundial en estructuras de luces LED. Muy familiar y visual.,"Ubicado en Kamala, cerca del Novotel.","7.9555, 98.2872",https://phuketbuyhouse.com/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MzYyMjM4LCJwdXIiOiJibG9iX2lkIn19--6d514c568e43875ba98db76c34108aaa5521d836/carnival-magic-media-discovery-teaser.jpg
th022,Cave Fantasy (MBK),Visita,Noche,Bangkok,1h,Bajo,~300 THB,"Nueva atracción inmersiva con luces, espejos y visuales.","Ubicada en la planta 4 del MBK Center (Zona A). Ideal para fans de los espacios ""instagrammables"" y arte digital.",Se inauguró en enero de 2026; es muy nueva.,"13.7444, 100.5299","https://res.klook.com/image/upload/w_750,h_469,c_fill,q_85/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/illjpvd4ps6j1qdobd9f.jpg"
th023,Centipede Packet,Consejo,Da Igual,Tailandia,-,Bajo,20 THB,Medicina tradicional para la tos y el dolor de garganta.,Se reconoce por la imagen de un ciempiés en el paquete. Es muy efectivo a pesar de su apariencia.,Útil si el aire acondicionado de los aviones o trenes te afecta la garganta.,"13.7563, 100.5018",https://www.thailandunique.com/image/cache/catalog/edible-insect-bags/edible-giant-centipede-bag-new-900x900.jpg
th024,Chatuchak Weekend Market,Compras,Mañana/Tarde,Bangkok,2-4 hs,Bajo,Gratis,"El mercado más grande de Bangkok: ropa, souvenirs, arte, comida y plantas (ideal fin de semana).",Ir sábado o domingo. Llegar antes del mediodía para menos calor y mejores precios. MRT: Kamphaeng Phet o Chatuchak Park.,"Si tu itinerario cae sábado/domingo, reservá 1 bloque grande acá.","13.80083, 100.55139",https://passportandstamps.com/wp-content/uploads/2025/03/Immensive-Chatuchak-market.jpg
th119,Chocolate Ville (parque/restó estilo europeo),Comida,Tarde-noche,Bangkok,2-3h,Bajo,Medio/Alto,Restó + parque temático fotogénico (ideal de noche).,Ir al atardecer/noche cuando prenden luces. Reservar si vas en finde. Buen lugar para fotos tipo “pueblo europeo”.,Fuente: video (reels). Coordenadas aproximadas (WGS84).,"13.82955, 100.6638",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b6/1b/7f/let-s-dining-in-the-park.jpg
th025,Choui Fong Tea,Visita,Mañana,Chiang Rai,1.5h,Bajo,Gratis,Plantaciones de té con arquitectura moderna.,Campos verdes infinitos y una cafetería de diseño donde probar postres de matcha.,Las vistas desde la terraza de la cafetería son las mejores de la zona.,"20.1997, 99.8166",https://mychiangmaitour.com/wp-content/uploads/2018/01/choui_fong_tea_plantation07.jpg
th026,Column Bangkok Hotel,Hotel,Da Igual,Bangkok,-,Bajo,-,Tu base moderna en el corazón de Sukhumvit. Sukhumvit Soi 16.,Ubicado en Soi 16. Habitaciones con cocina y vistas increíbles. Cerca de BTS Asok y MRT Sukhumvit. Excelente para moverse y estar cerca de la movida nocturna.,Tip Logístico: Ideal para el último día (09/03). Puedes dejar las maletas tras el check-out y volver por ellas antes de ir al aeropuerto a las 20:30.,"13.7314, 100.5612",https://images.skyscrapercenter.com/building/columnbangkok_ext-lookingup_(c)tansri__muliani.jpg
th027,Combo Transporte Económico,Consejo,Noche,Bangkok / Chiang Mai,-,Bajo,Variable,Estrategia integral para moverte por el país ahorrando.,"Combina el Airport Rail Link para traslados al aeropuerto, el Tren Nocturno Nº 9 para viajar a Chiang Mai ahorrando una noche de hotel, y la app MuvMi para trayectos cortos en Tuk-Tuk eléctrico.","Cubre larga, media y corta distancia de forma eficiente y evita las estafas de precios a turistas.","13.7563, 100.5018",https://wanderlustmemories.com/wp-content/uploads/2017/02/tren_chiang_mai_alex.jpg
th028,Comida Callejera (Precio Justo),Comida,Mañana,Tailandia,30m,Bajo,50-100 THB,Referencia de precio para no pagar de más en la calle.,Un plato estándar de Pad Thai o Fried Rice debe costar entre 50 y 100 THB en puestos locales.,"Si el precio supera los 150 THB en un puesto de calle, estás pagando ""impuesto al turista"".","13.7563, 100.5018",https://fotografias.lasexta.com/clipping/cmsimages01/2019/05/30/8169AC0C-89DA-45C0-8678-639F02776338/98.jpg
th018,Compras clave en 7-Eleven (sucursal grande - Asok),Compras,Da Igual,Bangkok,30m,Bajo,≈ 500–700 THB,"Hacé una parada en el 7-Eleven más grande de Bangkok (Asok, sucursal 2457/02457, 2 pisos) y comprá todo esto de una sola vez • Sumá el Chocolate Lava Cake (postre viral).","Ready Net SIM True 5G (15GB / 30 días): pedila en caja; requiere pasaporte físico. Evitá comprar SIM en el aeropuerto (más cara). • Electrolitos Neo‑Lyte: sobres para mezclar con agua (más efectivos que bebidas deportivas) para calor/excursiones. • Fresh Doze: tapitas con polvo multivitamínico para botellas (colágeno rosa / L‑carnitina verde / vitaminas morado). Se activa presionando el tapón.• Flying Rabbit: emulsión blanca para acidez/malestar estomacal por street food (si no está en 7-Eleven, buscar en farmacia).• Gaviscon (sobres): para acidez tras comida picante (Tom Yum, etc.).• Repelente Soffell (paquete rosa): efectivo contra mosquitos (dengue).• Thai Red Bull (frasco de vidrio): energizante local sin gas, mucho más fuerte que el internacional (usar con moderación).• Ya Dom (inhalador): útil para mareos por calor / congestión (si lo ves, llevate uno). • Postre viral: **Chocolate Lava Cake** (~30–50 THB). Buscar en bakery/postres; pedir que lo calienten 20–30s en microondas para que quede líquido por dentro.","Si no encontrás Flying Rabbit o Ya Dom en esta sucursal, generalmente están en farmacias cercanas. Para SIM: pasaporte original.","13.74387, 100.56208",https://thumbs.dreamstime.com/b/tiendas-seven-eleven-hermosas-y-modernas-siete-en-bangkok-tailandia-162825383.jpg
th123,Damnoen Saduak Floating Market,Mercado,Mañana,Bangkok (excursión),4-6h (con traslados),Medio,Variable,Mercado flotante más famoso (muy turístico).,Ir muy temprano (salida 6–7am) para ver actividad y evitar multitudes. Suele combinarse con Maeklong Railway Market. Negociar precio del bote.,Fuente: video (reels). Coords web.,"13.517607, 99.953829",https://media.tacdn.com/media/attractions-splice-spp-674x446/09/27/df/b8.jpg
th029,Dantewada Land of Angels,Visita,Tarde,Chiang Mai,2h,Bajo,80 THB,Parque temático natural con cascadas y flores.,Es un entorno artificial diseñado específicamente para fotografías de Instagram. Tiene cuevas y vegetación exuberante.,Ubicado a unos 45-60 min del centro de Chiang Mai.,"19.1415, 98.9272","https://res.klook.com/image/upload/w_750,h_469,c_fill,q_85/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/m1kyuooy7kfk0vobrags.jpg"
th030,Doi Inthanon Park,Naturaleza,Mañana,Cerca CM,10h,Medio,300 THB,El pico más alto de Tailandia.,"Incluye las Pagodas Gemelas, cascadas y senderos de bosque nuboso.",Imprescindible llevar una camperita; arriba hace frío (incluso 10°C).,"18.5882, 98.4870",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ce/09/87/garden.jpg
th125,Don Wai Market (Don Wai Floating Market),Mercado,Mañana-mediodía,Bangkok (Nakhon Pathom),2-3h,Bajo,Gratis,Mercado ribereño con mucha comida local (menos turístico).,Junto al río (detrás de Wat Don Wai). Fuerte en street food y platos locales (ej. pato estofado). Ideal de mañana/mediodía.,Fuente: video (reels). Coords web.,"13.77003, 100.28463",https://travel-shark.com/wp-content/uploads/2024/08/car-park-1280x640.jpg
th031,Elephant Dinner (Phuket),Experiencia,Mañana,Phuket,2h,Bajo,Medio,Cena en la playa viendo elefantes pasar.,Ubicado en una playa privada cerca de Patong/Kamala. Muy visual para el atardecer.,NotaIA: Asegúrate de que el lugar siga prácticas de bienestar animal antes de reservar.,"7.8920, 98.2950",https://phuketelephantonthebeach.com/wp-content/uploads/2025/05/phuket-elephant-on-the-beach-025-1-980x1225.jpg
th032,Elephant Nature Park,Ético,Mañana,Chiang Mai,8h,Medio,2500 THB+,Santuario ético de elefantes rescatados.,"No se montan. Solo observación, alimentación y baño.",Reserva con meses de antelación; los cupos éticos vuelan.,"19.2154, 98.8604",https://elephantfreedom.org/wp-content/uploads/2024/10/Elephant_bathing-1024x683.webp
th033,Escala en Estambul,Logística,Da Igual,Estambul,17h,Bajo,Variable,Tiempo de espera antes del tramo final a Bangkok.,Sale el 18/02 15:30. Puedes aplicar al tour gratis de Turkish o usar el hotel de escala.,"Si el ticket lo permite, Turkish ofrece hotel gratis por escalas largas (verificar condiciones).","41.2752, 28.7519",https://cdn.istanbultouristpass.com/banner/doc/istanbul%20layover%20what%20to%20do%20in%205%20hours%20(2).jpg
th034,Estrategia Ahorro Diario,Consejo,Tarde,Bangkok,-,Bajo,< 500 THB,Cómo vivir la ciudad con un presupuesto bajo sin perder calidad.,"Combina comer en la planta baja de Iconsiam (SookSiam), que tiene precios de mercado local pero ambiente limpio, con el uso del Orange Flag Boat (16 THB) para recorrer el río.",Esta combinación permite visitar lugares de lujo y moverte por el centro por menos de 15€ al día.,"13.7274, 100.5103",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/ac/29/3c/sooksiam-iconsiam-g-fl.jpg
th035,Formulario TDAC,Consejo,Tarde,Inmigración,5m,Bajo,Gratis,Tarjeta Digital de Llegada obligatoria desde mayo 2025.,Reemplaza al papel TM6. Se rellena online hasta 3 días antes. Te dan un QR.,No aceptes ayuda de webs que cobren; es un trámite 100% gratuito.,"13.6899, 100.7501",https://www.conmochila.com/wp-content/uploads/2025/07/formulario-tdac-tailandia-06.jpg
th036,Genbu Sushi Bar,Comida,Noche,Bangkok,1.5h,Bajo,1 USD/pieza,Sushi de lujo asequible en un entorno de diseño.,Piezas artesanales que incluyen ingredientes premium como caviar o trufa. Ubicado en Ratchayothin Hills.,El restaurante tiene un diseño retro-futurista muy llamativo para fotos.,"13.8265, 100.5670",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/4c/1e/71/an-upscale-sushi-bar.jpg
th037,Gran Palacio,Visita,Mañana,Bangkok,3h,Medio,500 THB,El recinto real más sagrado e importante del país.,Llegar 08:30h para evitar el calor y multitudes. Obligatorio hombros y rodillas cubiertas (no valen leggings ni tirantes). Verás el Buda de Esmeralda. • Incluye **Wat Phra Kaew** (Templo del Buda Esmeralda) dentro del complejo.,Es el sitio con el protocolo de vestimenta más estricto de toda Tailandia.,"13.7515, 100.4927",https://cdn-67ebd632c1ac1810207eacb0.closte.com/wp-content/uploads/2020/12/Solo-Palacio.jpg.webp
th038,Hanuman World (Mountain Carting),Experiencia,Mañana,Phuket,3-4h,Medio,1500 THB+,Circuito de aventura con carritos de montaña y tirolesas.,Incluye descenso en carritos por la selva. Se requiere casco y seguir las instrucciones del staff estrictamente.,Ubicado en la selva de Phuket; combina bien con la tirolesa (Zipline).,"7.8732, 98.3415",https://hanumanluge.com/wp-content/uploads/2026/02/New-Project-2026-02-04T123603.213.jpg
th039,Iconsiam (Rooftop & Barco),Compras,Mañana,Bangkok,3h,Bajo,Gratis (Entrada),Centro comercial de lujo con mirador gratuito y comida regional.,Sube a la planta 7 para vistas gratuitas del skyline. Usa el barco de 8 THB desde el muelle Sathorn (no pagues 100 por el turístico).,La planta baja (SookSiam) replica un mercado flotante con comida muy buena.,"13.7274, 100.5103",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/12/a1/f1/6f.jpg
th040,Inhalador (Ya Dom),Consejo,Mañana,Tailandia,-,Bajo,25 THB,Tubito de aceites esenciales (mentol/eucalipto) para el calor.,"Lo verás en la nariz de todos los locales. Sirve para mareos, calor y malos olores.",El de la marca Poy-Sian es el más icónico.,"13.7563, 100.5018",https://www.thailandfoundation.or.th/wp-content/uploads/2022/11/50f56e977567f764fa67171ece1bd2fa-1024x1024.png
th041,Islas Similan,Visita,Mañana,Phuket,10h,Alto,3500 THB,Paraíso de aguas turquesas y snorkel de primer nivel.,Se sale en lancha rápida (tour de día completo). Las playas más blancas de Tailandia.,Solo abren de noviembre a mayo por seguridad climática.,"8.6500, 97.6333",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/15/0e/6e/91.jpg
th042,Jay Fai,Comida,Tarde,Bangkok,3h,Medio,1400 THB,Comida callejera con Estrella Michelin (Tortilla de Cangrejo).,Las colas son de 2 a 4 horas si no tienes reserva. El plato estrella vale unos 40€.,Ella sigue cocinando personalmente cada plato con sus gafas de bucear.,"13.7526, 100.5048",https://i0.wp.com/samurai-gourmet.com/wp-content/uploads/2022/06/image-2.jpg
th043,Jim Thompson House Museum,Visita,Mañana/Tarde,Bangkok,1-1.5 hs,Bajo,250 THB,Museo/house-museum de Jim Thompson (Thai silk) con casas tradicionales y colección de arte.,Tickets se compran en boletería. Boletería suele ser 10:00–17:00 (última entrada cercana al cierre).,Muy buena visita si te interesa cultura/diseño; combinar con Siam/MBK.,-,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/f3/f2/f8/outside.jpg
th044,John Suwan Viewpoint,Visita,Noche,Koh Tao,1h,Alto,50 THB,Mirador con vista a las dos bahías enfrentadas.,Subida empinada por rocas y cuerdas. No apto para personas con movilidad reducida.,"La vista es la más famosa de Koh Tao, rodeada de palmeras.","10.0638, 99.8273",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8c/dd/08/photo0jpg.jpg
th122,Khao San Road,Vida nocturna,Noche,Bangkok,1-3h,Bajo,Variable,"Calle icónica para noche: bares, música, comida callejera.",Ir desde el atardecer. Ideal para una vuelta corta + street food. Evitar si buscás tranquilidad.,Fuente: video (reels). Coords web.,"13.758889, 100.497223",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/70/7d/de/dsc-0561-1-largejpg.jpg
th045,Khao Soi Maesai,Comida,Mañana,Chiang Mai,1h,Bajo,50-80 THB,El mejor Khao Soi (curry de noodles) de Tailandia.,Aparece en la guía Michelin. Es un local sencillo pero con filas largas. El sabor es intenso y ligeramente picante.,Solo abren hasta las 16:00h. No vayas tarde o se acaba el pollo.,"18.8000, 98.9744",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/4d/cf/b2/caption.jpg
th046,Khao Sok (Lago Cheow Lan),Visita,Da Igual,Surat Thani,2 días,Medio,2500 THB+,Parque Nacional con montañas de piedra surgiendo del agua.,Se recomienda dormir en cabañas flotantes básicas sin internet. Incluye safaris en barco.,Es la selva con mayor biodiversidad del sur de Tailandia.,"8.9774, 98.6675",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/07/00/a4/db.jpg
th047,Khao-so-i,Gastronomía,Noche,Chiang Mai,1.5h,Bajo,150-250 THB,Versión gourmet y moderna del Khao Soi.,Estética de restaurante japonés. Fideos frescos y presentaciones de autor.,"Es la versión ""linda"" y cara comparada con Maesai, pero deliciosa.","18.7965, 99.0020",https://media-cdn.tripadvisor.com/media/photo-s/0e/5b/2d/14/khao-soi.jpg
th048,Khlong Ong Ang,Mercado,Tarde,Bangkok,2h,Bajo,Gratis,Canal modernizado con arte urbano y comida.,Paseo nocturno (Vie-Dom). Música en vivo y ambiente joven.,Está cerca de Little India y Chinatown.,"13.7445, 100.5030",https://www.inthailand.travel/wp-content/uploads/2021/05/Klong-Ong-night.jpg
th049,Khlong Saen Saep Boat,Transporte,Tarde,Bangkok,45m,Bajo,15-20 THB,Barco de canal usado por locales para evitar tráfico.,Atraviesa el centro de la ciudad. Rápido y muy auténtico (cuidado con el agua al subir).,Es la mejor forma de ir de Siam Square a la zona vieja (Wat Saket).,"13.7490, 100.5400",https://ntyhn.wordpress.com/wp-content/uploads/2015/03/route-map.png
th121,Khlong Toei Market,Mercado,Muy temprano,Bangkok,1-2h,Bajo,Gratis,"Mercado local grande (verduras, carnes, comida callejera).",Mejor muy temprano (madrugada/mañana). Buen lugar para ver Bangkok “real” y comer barato. Ojo con calor/olores: ir con calzado cerrado.,Fuente: video (reels). Coords web.,"13.7213093, 100.5593429",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8f/14/42/photo0jpg.jpg
th050,Koh Kood,Visita,Da Igual,Isla,Días,Bajo,Variable,"La isla virgen, llamada las ""Maldivas de Tailandia"".","A 6h de Bangkok (bus+ferry). Auténtica, tranquila, sin turismo de masas.",Perfecta para desconectar y ver atardeceres en calma total.,"11.6600, 102.5500",https://www.turismotailandes.com/wp-content/uploads/2015/05/Koh-Kood.jpg
th051,Koh Lipe,Visita,Noche,Satun,3 días,Bajo,Variable,"Conocida como las ""Maldivas de Tailandia"".",Aguas ultra cristalinas y arena blanca finísima. Es una isla pequeña que se recorre a pie.,"Es de difícil acceso (6h desde el aeropuerto más cercano), lo que la mantiene exclusiva.","6.4886, 99.3015",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/15/81/8d/20180215-142929-largejpg.jpg
th052,Koh Tao (Buceo/Snorkel),Visita,Da Igual,Isla,2-3 días,Medio,Variable,El lugar más barato del mundo para bucear.,"Ambiente joven, calas pequeñas y aguas mansas. Ideal para sacar el certificado PADI.",Shark Bay es excelente para ver tiburones de punta negra (inofensivos).,"10.0956, 99.8404",https://scubafinders.com/blog/wp-content/uploads/2025/02/buceo-en-koh-tao.webp
th053,Lalitta Café,Comida,Da Igual,Chiang Rai,1.5h,Bajo,60 THB,Café inmersivo que parece un bosque encantado.,"Famoso por su niebla artificial constante, cascadas y flores exóticas. Es un restaurante completo.",Se paga entrada pero el valor se descuenta de lo que consumas dentro.,"19.9234, 99.8142",https://media-cdn.tripadvisor.com/media/photo-m/1280/26/8a/94/08/caption.jpg
th054,Lard Yai Market,Mercado,Da Igual,Phuket,2h,Bajo,Variable,Mercado nocturno de los domingos en el casco viejo.,Se realiza solo el domingo en Thalang Road. Comida local y shows callejeros.,Es el mejor momento para ver el casco histórico iluminado y con vida.,"7.8848, 98.3891",https://thumbs.dreamstime.com/b/phuket-thailand-may-lard-yai-walking-street-night-market-every-sunday-famous-great-shopping-local-food-performance-arts-cafes-155400844.jpg
th130,Lion House Phuket,Experiencia,Da Igual,Phuket,1-2h,Bajo,Desde 1.000 THB (interacción; varía por paquete),Café junto a un lago con opción de ver/interactuar con cachorro de león (polémico).,"Dirección: 531/20 Phuket Rd, Talat Yai, Mueang Phuket, Phuket 83000. Horario aprox.: 10:00–20:00. Actividad: café/brunch + área de fotos/interacción (paquetes y tiempos varían). Tip: reservar/consultar condiciones y reglas (no flash, movimientos suaves).",Las experiencias de 'cachorros para fotos' suelen estar asociadas a problemas de bienestar y comercio de fauna. Si vas evaluá críticamente condiciones (espacio manejo descanso del animal) y evitá prácticas invasivas.,"7.8755234, 98.3981891",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/a0/65/19/einzigartiges-ambiente.jpg
