id,Nombre,Tipo,Horario,Ciudad,Tiempo,Esfuerzo,Costo,Descripción,Detalle,NotaIA,LATLON,Image
th013,Bahía de Phang Nga (Kayak),Visita,Mañana,Phuket / Krabi,8h,Medio,2500 THB,Paisaje de formaciones calizas y cuevas marinas.,Se visita en lanchas rápidas. El punto icónico es la isla de James Bond. Se recomienda el kayak para entrar en lagunas internas.,Ideal ir temprano para evitar los cientos de barcos que llegan al mediodía.,"8.2439, 98.5060",Link
th014,Bami Jae Hua,Comida,Da Igual,Chiang Mai,1h,Bajo,80-150 THB,Noodles chinos famosos y Gyozas de queso.,Especialidad en noodles estirados a mano y dumplings virales.,"Ubicado en la zona gastronómica de Chiang Mai, ideal para cenar informal.","18.7885, 98.9850",Link
th015,Barco Público (Orange Flag),Transporte,Mañana,Bangkok,30-60m,Bajo,16 THB,La forma más barata y escénica de moverte por el río.,Busca siempre la bandera naranja. Conecta los principales templos y muelles.,Es mucho más barato que el barco azul (Tourist Boat) que cuesta 150 THB.,"13.7194, 100.5126",Link
th016,Big Buddha Samui,Visita,Da Igual,Koh Samui,1h,Bajo,Gratis,Estatua dorada de 12m visible desde el aire.,Situada en una pequeña isla conectada por una calzada. Gran vista de la costa norte.,Evita ir al mediodía; el suelo quema mucho (se entra descalzo).,"9.5707, 100.0604",Link
th017,BKK Thai Cooking Academy,Gastronomía,Da Igual,Bangkok,4h,Bajo,1500 THB,Clase de cocina con visita al mercado local.,Incluye tour por mercado para elegir ingredientes y preparación de 4-5 platos.,Te dan un recetario digital al finalizar.,"13.7065, 100.6015",Link
th127,Bonnie’s Deli (Koh Lanta),Comida,Mediodía-tarde,Koh Lanta,1h,Bajo,Medio,Deli/sándwiches + quesos y fiambres (ideal para picnic o take-away).,"Buen plan para almuerzo rápido o para armar vianda. Menú tipo delicatessen (sandwiches, quesos, embutidos).",Fuente: video (reels). Dirección en Koh Lanta; faltan coords exactas en esta pasada.,-,
th019,Cabalgata Costera Phuket,Experiencia,Mañana,Phuket,2h,Medio,2000 THB,Paseo a caballo por la playa al atardecer.,Recorrido por la orilla del mar. Muy fotogénico.,Reservar para el horario de las 17:30 para mejores fotos.,"8.0050, 98.2950",Link
th020,Cabalgata Rural CM,Experiencia,Mañana,Chiang Mai,2.5h,Medio,1500 THB,Paseo a caballo por campos y senderos.,Recorrido guiado por zonas rurales fuera del casco urbano. Ritmo tranquilo.,Ideal para ver el paisaje de montaña sin caminar tanto.,"18.8200, 98.9500",Link
th021,Carnival Magic,Visita,Tarde,Phuket,4h,Bajo,2100 THB,Parque temático de luces y carnaval.,Récord mundial en estructuras de luces LED. Muy familiar y visual.,"Ubicado en Kamala, cerca del Novotel.","7.9555, 98.2872",Link
th022,Cave Fantasy (MBK),Visita,Noche,Bangkok,1h,Bajo,~300 THB,"Nueva atracción inmersiva con luces, espejos y visuales.","Ubicada en la planta 4 del MBK Center (Zona A). Ideal para fans de los espacios ""instagrammables"" y arte digital.",Se inauguró en enero de 2026; es muy nueva.,"13.7444, 100.5299",Link
th023,Centipede Packet,Consejo,Da Igual,Tailandia,-,Bajo,20 THB,Medicina tradicional para la tos y el dolor de garganta.,Se reconoce por la imagen de un ciempiés en el paquete. Es muy efectivo a pesar de su apariencia.,Útil si el aire acondicionado de los aviones o trenes te afecta la garganta.,"13.7563, 100.5018",Link
th024,Chatuchak Weekend Market,Compras,Mañana/Tarde,Bangkok,2-4 hs,Bajo,Gratis,"El mercado más grande de Bangkok: ropa, souvenirs, arte, comida y plantas (ideal fin de semana).",Ir sábado o domingo. Llegar antes del mediodía para menos calor y mejores precios. MRT: Kamphaeng Phet o Chatuchak Park.,"Si tu itinerario cae sábado/domingo, reservá 1 bloque grande acá.","13.80083, 100.55139",Link
th119,Chocolate Ville (parque/restó estilo europeo),Comida,Tarde-noche,Bangkok,2-3h,Bajo,Medio/Alto,Restó + parque temático fotogénico (ideal de noche).,Ir al atardecer/noche cuando prenden luces. Reservar si vas en finde. Buen lugar para fotos tipo “pueblo europeo”.,Fuente: video (reels). Coordenadas aproximadas (WGS84).,"13.82955, 100.6638",
th025,Choui Fong Tea,Visita,Mañana,Chiang Rai,1.5h,Bajo,Gratis,Plantaciones de té con arquitectura moderna.,Campos verdes infinitos y una cafetería de diseño donde probar postres de matcha.,Las vistas desde la terraza de la cafetería son las mejores de la zona.,"20.1997, 99.8166",Link
th026,Column Bangkok Hotel,Hotel,Da Igual,Bangkok,-,Bajo,-,Tu base moderna en el corazón de Sukhumvit. Sukhumvit Soi 16.,Ubicado en Soi 16. Habitaciones con cocina y vistas increíbles. Cerca de BTS Asok y MRT Sukhumvit. Excelente para moverse y estar cerca de la movida nocturna.,Tip Logístico: Ideal para el último día (09/03). Puedes dejar las maletas tras el check-out y volver por ellas antes de ir al aeropuerto a las 20:30.,"13.7314, 100.5612",Link
th027,Combo Transporte Económico,Consejo,Noche,Bangkok / Chiang Mai,-,Bajo,Variable,Estrategia integral para moverte por el país ahorrando.,"Combina el Airport Rail Link para traslados al aeropuerto, el Tren Nocturno Nº 9 para viajar a Chiang Mai ahorrando una noche de hotel, y la app MuvMi para trayectos cortos en Tuk-Tuk eléctrico.","Cubre larga, media y corta distancia de forma eficiente y evita las estafas de precios a turistas.","13.7563, 100.5018",Link
th028,Comida Callejera (Precio Justo),Comida,Mañana,Tailandia,30m,Bajo,50-100 THB,Referencia de precio para no pagar de más en la calle.,Un plato estándar de Pad Thai o Fried Rice debe costar entre 50 y 100 THB en puestos locales.,"Si el precio supera los 150 THB en un puesto de calle, estás pagando ""impuesto al turista"".","13.7563, 100.5018",Link
th018,Compras clave en 7-Eleven (sucursal grande - Asok),Compras,Da Igual,Bangkok,30m,Bajo,≈ 500–700 THB,"Hacé una parada en el 7-Eleven más grande de Bangkok (Asok, sucursal 2457/02457, 2 pisos) y comprá todo esto de una sola vez • Sumá el Chocolate Lava Cake (postre viral).","Ready Net SIM True 5G (15GB / 30 días): pedila en caja; requiere pasaporte físico. Evitá comprar SIM en el aeropuerto (más cara). • Electrolitos Neo‑Lyte: sobres para mezclar con agua (más efectivos que bebidas deportivas) para calor/excursiones. • Fresh Doze: tapitas con polvo multivitamínico para botellas (colágeno rosa / L‑carnitina verde / vitaminas morado). Se activa presionando el tapón.• Flying Rabbit: emulsión blanca para acidez/malestar estomacal por street food (si no está en 7-Eleven, buscar en farmacia).• Gaviscon (sobres): para acidez tras comida picante (Tom Yum, etc.).• Repelente Soffell (paquete rosa): efectivo contra mosquitos (dengue).• Thai Red Bull (frasco de vidrio): energizante local sin gas, mucho más fuerte que el internacional (usar con moderación).• Ya Dom (inhalador): útil para mareos por calor / congestión (si lo ves, llevate uno). • Postre viral: **Chocolate Lava Cake** (~30–50 THB). Buscar en bakery/postres; pedir que lo calienten 20–30s en microondas para que quede líquido por dentro.","Si no encontrás Flying Rabbit o Ya Dom en esta sucursal, generalmente están en farmacias cercanas. Para SIM: pasaporte original.","13.74387, 100.56208",Link
th123,Damnoen Saduak Floating Market,Mercado,Mañana,Bangkok (excursión),4-6h (con traslados),Medio,Variable,Mercado flotante más famoso (muy turístico).,Ir muy temprano (salida 6–7am) para ver actividad y evitar multitudes. Suele combinarse con Maeklong Railway Market. Negociar precio del bote.,Fuente: video (reels). Coords web.,"13.517607, 99.953829",
th029,Dantewada Land of Angels,Visita,Tarde,Chiang Mai,2h,Bajo,80 THB,Parque temático natural con cascadas y flores.,Es un entorno artificial diseñado específicamente para fotografías de Instagram. Tiene cuevas y vegetación exuberante.,Ubicado a unos 45-60 min del centro de Chiang Mai.,"19.1415, 98.9272",Link
th030,Doi Inthanon Park,Naturaleza,Mañana,Cerca CM,10h,Medio,300 THB,El pico más alto de Tailandia.,"Incluye las Pagodas Gemelas, cascadas y senderos de bosque nuboso.",Imprescindible llevar una camperita; arriba hace frío (incluso 10°C).,"18.5882, 98.4870",Link
th125,Don Wai Market (Don Wai Floating Market),Mercado,Mañana-mediodía,Bangkok (Nakhon Pathom),2-3h,Bajo,Gratis,Mercado ribereño con mucha comida local (menos turístico).,Junto al río (detrás de Wat Don Wai). Fuerte en street food y platos locales (ej. pato estofado). Ideal de mañana/mediodía.,Fuente: video (reels). Coords web.,"13.77003, 100.28463",
th031,Elephant Dinner (Phuket),Experiencia,Mañana,Phuket,2h,Bajo,Medio,Cena en la playa viendo elefantes pasar.,Ubicado en una playa privada cerca de Patong/Kamala. Muy visual para el atardecer.,NotaIA: Asegúrate de que el lugar siga prácticas de bienestar animal antes de reservar.,"7.8920, 98.2950",Link
th032,Elephant Nature Park,Ético,Mañana,Chiang Mai,8h,Medio,2500 THB+,Santuario ético de elefantes rescatados.,"No se montan. Solo observación, alimentación y baño.",Reserva con meses de antelación; los cupos éticos vuelan.,"19.2154, 98.8604",Link
th033,Escala en Estambul,Logística,Da Igual,Estambul,17h,Bajo,Variable,Tiempo de espera antes del tramo final a Bangkok.,Sale el 18/02 15:30. Puedes aplicar al tour gratis de Turkish o usar el hotel de escala.,"Si el ticket lo permite, Turkish ofrece hotel gratis por escalas largas (verificar condiciones).","41.2752, 28.7519",Link
th034,Estrategia Ahorro Diario,Consejo,Tarde,Bangkok,-,Bajo,< 500 THB,Cómo vivir la ciudad con un presupuesto bajo sin perder calidad.,"Combina comer en la planta baja de Iconsiam (SookSiam), que tiene precios de mercado local pero ambiente limpio, con el uso del Orange Flag Boat (16 THB) para recorrer el río.",Esta combinación permite visitar lugares de lujo y moverte por el centro por menos de 15€ al día.,"13.7274, 100.5103",Link
th035,Formulario TDAC,Consejo,Tarde,Inmigración,5m,Bajo,Gratis,Tarjeta Digital de Llegada obligatoria desde mayo 2025.,Reemplaza al papel TM6. Se rellena online hasta 3 días antes. Te dan un QR.,No aceptes ayuda de webs que cobren; es un trámite 100% gratuito.,"13.6899, 100.7501",Link
th036,Genbu Sushi Bar,Comida,Noche,Bangkok,1.5h,Bajo,1 USD/pieza,Sushi de lujo asequible en un entorno de diseño.,Piezas artesanales que incluyen ingredientes premium como caviar o trufa. Ubicado en Ratchayothin Hills.,El restaurante tiene un diseño retro-futurista muy llamativo para fotos.,"13.8265, 100.5670",Link
th037,Gran Palacio,Visita,Mañana,Bangkok,3h,Medio,500 THB,El recinto real más sagrado e importante del país.,Llegar 08:30h para evitar el calor y multitudes. Obligatorio hombros y rodillas cubiertas (no valen leggings ni tirantes). Verás el Buda de Esmeralda. • Incluye **Wat Phra Kaew** (Templo del Buda Esmeralda) dentro del complejo.,Es el sitio con el protocolo de vestimenta más estricto de toda Tailandia.,"13.7515, 100.4927",Link
th038,Hanuman World (Mountain Carting),Experiencia,Mañana,Phuket,3-4h,Medio,1500 THB+,Circuito de aventura con carritos de montaña y tirolesas.,Incluye descenso en carritos por la selva. Se requiere casco y seguir las instrucciones del staff estrictamente.,Ubicado en la selva de Phuket; combina bien con la tirolesa (Zipline).,"7.8732, 98.3415",Link
th039,Iconsiam (Rooftop & Barco),Compras,Mañana,Bangkok,3h,Bajo,Gratis (Entrada),Centro comercial de lujo con mirador gratuito y comida regional.,Sube a la planta 7 para vistas gratuitas del skyline. Usa el barco de 8 THB desde el muelle Sathorn (no pagues 100 por el turístico).,La planta baja (SookSiam) replica un mercado flotante con comida muy buena.,"13.7274, 100.5103",Link
th040,Inhalador (Ya Dom),Consejo,Mañana,Tailandia,-,Bajo,25 THB,Tubito de aceites esenciales (mentol/eucalipto) para el calor.,"Lo verás en la nariz de todos los locales. Sirve para mareos, calor y malos olores.",El de la marca Poy-Sian es el más icónico.,"13.7563, 100.5018",Link
th041,Islas Similan,Visita,Mañana,Phuket,10h,Alto,3500 THB,Paraíso de aguas turquesas y snorkel de primer nivel.,Se sale en lancha rápida (tour de día completo). Las playas más blancas de Tailandia.,Solo abren de noviembre a mayo por seguridad climática.,"8.6500, 97.6333",Link
th042,Jay Fai,Comida,Tarde,Bangkok,3h,Medio,1400 THB,Comida callejera con Estrella Michelin (Tortilla de Cangrejo).,Las colas son de 2 a 4 horas si no tienes reserva. El plato estrella vale unos 40€.,Ella sigue cocinando personalmente cada plato con sus gafas de bucear.,"13.7526, 100.5048",Link
th043,Jim Thompson House Museum,Visita,Mañana/Tarde,Bangkok,1-1.5 hs,Bajo,250 THB,Museo/house-museum de Jim Thompson (Thai silk) con casas tradicionales y colección de arte.,Tickets se compran en boletería. Boletería suele ser 10:00–17:00 (última entrada cercana al cierre).,Muy buena visita si te interesa cultura/diseño; combinar con Siam/MBK.,-,Link
th044,John Suwan Viewpoint,Visita,Noche,Koh Tao,1h,Alto,50 THB,Mirador con vista a las dos bahías enfrentadas.,Subida empinada por rocas y cuerdas. No apto para personas con movilidad reducida.,"La vista es la más famosa de Koh Tao, rodeada de palmeras.","10.0638, 99.8273",Link
th122,Khao San Road,Vida nocturna,Noche,Bangkok,1-3h,Bajo,Variable,"Calle icónica para noche: bares, música, comida callejera.",Ir desde el atardecer. Ideal para una vuelta corta + street food. Evitar si buscás tranquilidad.,Fuente: video (reels). Coords web.,"13.758889, 100.497223",
th045,Khao Soi Maesai,Comida,Mañana,Chiang Mai,1h,Bajo,50-80 THB,El mejor Khao Soi (curry de noodles) de Tailandia.,Aparece en la guía Michelin. Es un local sencillo pero con filas largas. El sabor es intenso y ligeramente picante.,Solo abren hasta las 16:00h. No vayas tarde o se acaba el pollo.,"18.8000, 98.9744",Link
th046,Khao Sok (Lago Cheow Lan),Visita,Da Igual,Surat Thani,2 días,Medio,2500 THB+,Parque Nacional con montañas de piedra surgiendo del agua.,Se recomienda dormir en cabañas flotantes básicas sin internet. Incluye safaris en barco.,Es la selva con mayor biodiversidad del sur de Tailandia.,"8.9774, 98.6675",Link
th047,Khao-so-i,Gastronomía,Noche,Chiang Mai,1.5h,Bajo,150-250 THB,Versión gourmet y moderna del Khao Soi.,Estética de restaurante japonés. Fideos frescos y presentaciones de autor.,"Es la versión ""linda"" y cara comparada con Maesai, pero deliciosa.","18.7965, 99.0020",Link
th048,Khlong Ong Ang,Mercado,Tarde,Bangkok,2h,Bajo,Gratis,Canal modernizado con arte urbano y comida.,Paseo nocturno (Vie-Dom). Música en vivo y ambiente joven.,Está cerca de Little India y Chinatown.,"13.7445, 100.5030",Link
th049,Khlong Saen Saep Boat,Transporte,Tarde,Bangkok,45m,Bajo,15-20 THB,Barco de canal usado por locales para evitar tráfico.,Atraviesa el centro de la ciudad. Rápido y muy auténtico (cuidado con el agua al subir).,Es la mejor forma de ir de Siam Square a la zona vieja (Wat Saket).,"13.7490, 100.5400",Link
th121,Khlong Toei Market,Mercado,Muy temprano,Bangkok,1-2h,Bajo,Gratis,"Mercado local grande (verduras, carnes, comida callejera).",Mejor muy temprano (madrugada/mañana). Buen lugar para ver Bangkok “real” y comer barato. Ojo con calor/olores: ir con calzado cerrado.,Fuente: video (reels). Coords web.,"13.7213093, 100.5593429",
th050,Koh Kood,Visita,Da Igual,Isla,Días,Bajo,Variable,"La isla virgen, llamada las ""Maldivas de Tailandia"".","A 6h de Bangkok (bus+ferry). Auténtica, tranquila, sin turismo de masas.",Perfecta para desconectar y ver atardeceres en calma total.,"11.6600, 102.5500",Link
th051,Koh Lipe,Visita,Noche,Satun,3 días,Bajo,Variable,"Conocida como las ""Maldivas de Tailandia"".",Aguas ultra cristalinas y arena blanca finísima. Es una isla pequeña que se recorre a pie.,"Es de difícil acceso (6h desde el aeropuerto más cercano), lo que la mantiene exclusiva.","6.4886, 99.3015",Link
th052,Koh Tao (Buceo/Snorkel),Visita,Da Igual,Isla,2-3 días,Medio,Variable,El lugar más barato del mundo para bucear.,"Ambiente joven, calas pequeñas y aguas mansas. Ideal para sacar el certificado PADI.",Shark Bay es excelente para ver tiburones de punta negra (inofensivos).,"10.0956, 99.8404",Link
th053,Lalitta Café,Comida,Da Igual,Chiang Rai,1.5h,Bajo,60 THB,Café inmersivo que parece un bosque encantado.,"Famoso por su niebla artificial constante, cascadas y flores exóticas. Es un restaurante completo.",Se paga entrada pero el valor se descuenta de lo que consumas dentro.,"19.9234, 99.8142",Link
th054,Lard Yai Market,Mercado,Da Igual,Phuket,2h,Bajo,Variable,Mercado nocturno de los domingos en el casco viejo.,Se realiza solo el domingo en Thalang Road. Comida local y shows callejeros.,Es el mejor momento para ver el casco histórico iluminado y con vida.,"7.8848, 98.3891",Link
th130,Lion House Phuket,Experiencia,Da Igual,Phuket,1-2h,Bajo,Desde 1.000 THB (interacción; varía por paquete),Café junto a un lago con opción de ver/interactuar con cachorro de león (polémico).,"Dirección: 531/20 Phuket Rd, Talat Yai, Mueang Phuket, Phuket 83000. Horario aprox.: 10:00–20:00. Actividad: café/brunch + área de fotos/interacción (paquetes y tiempos varían). Tip: reservar/consultar condiciones y reglas (no flash, movimientos suaves).",Las experiencias de 'cachorros para fotos' suelen estar asociadas a problemas de bienestar y comercio de fauna. Si vas evaluá críticamente condiciones (espacio manejo descanso del animal) y evitá prácticas invasivas.,"7.8755234, 98.3981891",Link
th055,Little Den Cafe,Visita,Mañana,Bangkok,1.5h,Bajo,400 THB,"Café temático con suricatas, zorros fennec y capibaras.",Tienes que ponerte pantuflas y lavarte las manos al entrar. Los animales están vacunados y cuidados.,Debes reservar por adelantado ya que el cupo es muy limitado.,"13.7300, 100.5800",Link
th056,Lumphini Park,Visita,Mañana/Tarde,Bangkok,1-2 hs,Bajo,Gratis,"Parque urbano icónico: caminata, lago y chance de ver varanos (monitor lizards).",Ideal a la mañana temprano o al atardecer. Entrada gratuita; suele abrir 04:30 y cerrar 21:00–22:00 según temporada.,Buen “reset” entre templos/compras; llevar repelente si vas al atardecer.,"13.73056, 100.54167",Link
th057,Mae Kampong Village,Visita,Da Igual,Cerca CM,4h,Medio,Gratis,Aldea de montaña auténtica y nublada.,"Famosa por su café de altura, cascadas y casas de madera tradicionales.",Aire puro y temperatura mucho más fresca que en la ciudad.,"18.8653, 99.3495",Link
th131,Maeklong Railway Market (Talad Rom Hoop),Mercado,Mañana,Bangkok (excursión),2h,Bajo,-,Mercado sobre las vías: ver cómo pliegan los puestos cuando pasa el tren.,"Ubicación: junto a Maeklong Railway Station, Samut Songkhram. Ideal ir con horario de paso del tren (pasa varias veces al día). Tip: pararte detrás de las líneas rojas y dejar pasar el tren; buen combo con Amphawa (tarde) el mismo día.",Actividad fotogénica pero concurrida: cuidar pertenencias y priorizar seguridad cuando pasa el tren.,"13.4076, 100.0005",Link
th058,MahaNakhon SkyWalk,Visita,Mañana,Bangkok,2h,Bajo,1050 THB+,Mirador con piso de cristal a 314m.,Piso 78. No cámaras en el vidrio. Ir antes de las 16h es más barato. Compra en apps como GetYourGuide o Klook para conseguir combos con descuento.,"Si almuerzas en el restaurante Ojo, el acceso suele estar incluido o bonificado.","13.7235, 100.5284",Link
th059,MBK Center,Compras,Da Igual,Bangkok,3h,Medio,Variable,El paraíso de las réplicas y electrónica.,"8 plantas. Busca las ""secret rooms"" para réplicas de lujo (bolsos/relojes) de alta calidad. Regatear es obligatorio.","Abre a las 10am. Es el lugar ideal para comprar ropa ""fake"" pero bien hecha.","13.7444, 100.5299",Link
th060,Monos Carteristas,Consejo,Mañana,Varias (Playas/Templos),-,Bajo,$0,Precaución con los monos salvajes en zonas turísticas.,"Los monos en lugares como Phi Phi o Lopburi roban comida, móviles y bolsos si te descuidas.",Nunca intentes recuperar algo a la fuerza si el mono se pone agresivo; busca ayuda de un local.,"7.7407, 98.7784",Link
th061,Mujeres Jirafa (Karen),Cultura,Tarde,Chiang Rai,1.5h,Bajo,500 THB,Visita a la aldea de la etnia Long Neck.,Conocerás la tradición de los anillos de latón y su artesanía textil.,Nota: Es un tema controversial; asegúrate de ir con un guía que respete a la comunidad.,"20.0515, 99.8820",Link
th062,Novotel Phuket Kamala Beach,Hotel,Da Igual,Phuket,-,Bajo,-,Resort frente al mar en la tranquila playa de Kamala.,Ubicación privilegiada con acceso directo a la playa. Más relajado que Patong pero cerca de todo.,Importante: Desde aquí al aeropuerto son 40-50 min. El show Carnival Magic queda muy cerca de este hotel.,"7.9555, 98.2872",Link
th063,Ojo Bangkok,Comida,Mañana,Bangkok,2h,Bajo,990 THB+,Restaurante mexicano en el piso 76 de la torre Mahanakhon.,"El menú de almuerzo es la forma más barata de conocer el edificio. Si gastas más de 1500 THB, te dan acceso al Skywalk gratis.",Las vistas son mejores que las del propio mirador público.,"13.7235, 100.5284",Link
th064,Old Phuket Town,Visita,Mañana,Phuket,2h,Bajo,Gratis,Casco histórico colonial colorido.,Fachadas estilo sino-portugués. Muy instagrameable.,Domingo hay mercado nocturno (Lard Yai).,"7.8848, 98.3891",Link
th065,One Bangkok,Visita,Da Igual,Bangkok,2-3h,Bajo,Gratis,Nuevo distrito futurista con centros comerciales y parques.,"Arquitectura de vanguardia, áreas verdes y tecnología de punta. Representa la ""Bangkok del futuro"".",Ideal para pasear cuando el calor es extremo gracias a sus áreas abiertas diseñadas con ventilación natural.,"13.7265, 100.5450",Link
th066,Pak Khlong Talat,Visita,Noche,Bangkok,1.5h,Bajo,Gratis,El mercado de flores más grande y colorido.,"Funciona 24h, pero el pico de actividad es a las 3:00-4:00 AM. Muy cerca de Wat Pho.",Es un gran lugar para ver la vida local real sin filtros turísticos.,"13.7416, 100.4950",Link
th067,Patong Sneakers,Compras,Noche,Phuket,1.5h,Bajo,490 THB+,"Tienda de zapatillas de segunda mano y ""pre-loved"" de alta calidad.","Tienen modelos de Jordan, Yeezy y Nike a precios muy bajos. Los precios son fijos, no hace falta regatear.",Ideal para renovar calzado si viajas con poco equipaje.,"7.8937, 98.2988",Link
th068,Phi Phi Islands (Day Trip),Visita,Tarde,Krabi/Phuket,8h,Alto,2500 THB,Maya Bay y lagunas turquesas.,Se llega en lancha rápida. Incluye snorkel y almuerzo.,Maya Bay puede cerrar en temporada baja por restauración.,"7.7407, 98.7784",Link
th069,Phra Nang Cave Beach,Playa,Da Igual,Railay,2h,Bajo,Gratis,Playa con altar de fertilidad y cuevas.,Una de las playas más bellas del mundo. Escenario de escalada y aguas turquesas.,Se llega caminando 15 min desde Railay East.,"8.0047, 98.8375",Link
th070,Phuket Cooking Class (VJ),Gastronomía,Mañana,Phuket,3.5h,Bajo,1800 THB,Clase personalizada con chef local.,Enfoque en mariscos y platos clásicos del sur. Muy interactivo.,La ubicación es cerca de las playas principales.,"7.8320, 98.3315",Link
th071,Promthep Cape Sunset Viewpoint,Visita,Tarde,Phuket,1-1.5 hs,Bajo,Gratis,El mirador de atardecer más famoso del sur de Phuket (puede estar muy concurrido).,Llegar 45–60 min antes del sunset para estacionar y encontrar buen lugar. Llevar agua.,"Si querés fotos, subí antes de la hora pico y quedate hasta después del ocaso.","7.7614, 98.3036",Link
th072,Railay Beach,Playa,Da Igual,Krabi,1 día,Medio,200 THB,Playa aislada rodeada de acantilados gigantes.,Solo accesible en bote (longtail) desde Ao Nang. Famosa por la escalada en roca.,Phra Nang Cave es la mejor playa de este sector (lado oeste).,"8.0119, 98.8367",Link
